booking_id,sailing_id,booking_date,days_to_departure,channel,party_size,fare_paid_per_person,discount_flag,price_version,competitor_price_index,booking_segment
B00048,S039,2024-11-24,182,direct,2,5870.95,0,P1,0.86,early_planner
B00049,S039,2024-08-23,275,web,2,5778.58,0,P1,0.93,early_planner
B00050,S039,2024-09-18,249,web,3,5600.5,0,P1,0.91,early_planner
B00051,S039,2024-11-20,186,travel_agent,2,4306.52,1,P1,0.86,loyal_guest
B00052,S039,2024-10-13,224,travel_agent,2,5535.43,0,P1,0.97,loyal_guest
B00053,S039,2024-10-29,208,direct,2,5451.73,0,P1,0.9,loyal_guest
B00054,S039,2024-09-04,263,travel_agent,4,5608.56,0,P1,1.0,early_planner
B00055,S039,2024-11-18,188,web,2,5598.78,0,P1,0.97,early_planner
B00056,S039,2024-08-19,279,direct,2,4950.53,1,P1,0.87,loyal_guest
B00057,S039,2024-09-04,263,web,1,5674.02,0,P1,1.05,loyal_guest
B00058,S039,2024-11-21,185,direct,4,5567.21,0,P1,0.94,early_planner
B00059,S039,2024-12-20,156,direct,4,5554.74,0,P1,1.0,mid_booker
B00060,S039,2025-03-23,63,travel_agent,2,5677.82,0,P2,1.0,mid_booker
B00061,S039,2025-02-23,91,direct,1,5947.54,0,P2,1.11,mid_booker
B00062,S039,2025-03-01,85,web,1,5440.95,0,P2,0.88,mid_booker
B00063,S039,2024-12-09,167,direct,3,5466.17,0,P2,1.01,mid_booker
B00064,S039,2025-03-24,62,web,3,5915.15,0,P3,1.09,mid_booker
B00065,S039,2025-01-06,139,direct,2,5745.3,0,P1,1.11,early_planner
B00066,S039,2025-03-07,79,direct,2,5488.11,0,P2,1.0,early_planner
B00067,S039,2025-02-24,90,web,4,5736.31,0,P3,0.84,mid_booker
B00068,S039,2025-03-10,76,direct,2,5439.3,0,P2,1.11,mid_booker
B00069,S039,2025-01-25,120,direct,1,4923.06,1,P1,1.1,early_planner
B00070,S039,2024-12-31,145,web,4,5573.67,0,P2,0.96,mid_booker
B00071,S039,2025-03-12,74,direct,2,5553.57,0,P3,0.96,mid_booker
B00072,S039,2025-01-13,132,direct,4,5741.94,0,P1,0.86,mid_booker
B00073,S039,2025-02-27,87,travel_agent,2,5726.33,0,P2,0.97,mid_booker
B00074,S039,2025-01-26,119,web,2,5731.49,0,P2,1.12,mid_booker
B00075,S039,2024-12-27,149,travel_agent,2,5779.69,0,P1,0.93,mid_booker
B00076,S039,2025-02-22,92,web,2,5626.43,0,P1,0.97,mid_booker
B00077,S039,2024-12-18,158,travel_agent,2,4456.14,1,P1,1.03,mid_booker
B00078,S039,2025-02-07,107,direct,2,4672.76,1,P2,1.02,early_planner
B00079,S039,2025-03-05,81,direct,1,5926.05,0,P3,1.09,mid_booker
B00080,S039,2025-01-08,137,direct,3,5744.87,0,P1,1.04,mid_booker
B00081,S039,2025-01-08,137,direct,2,5526.55,0,P1,0.97,early_planner
B00082,S039,2025-04-08,47,travel_agent,2,5564.71,0,P3,0.95,last_minute
B00083,S039,2025-04-10,45,direct,1,5481.05,0,P2,1.11,mid_booker
B00084,S039,2025-05-18,7,web,1,4441.26,1,P3,0.93,mid_booker
B00085,S039,2025-04-06,49,travel_agent,2,4860.2,1,P3,1.09,last_minute
B00086,S039,2025-04-03,52,direct,4,4464.39,1,P3,0.97,last_minute
B00087,S039,2025-05-15,10,travel_agent,4,4788.24,1,P3,0.84,mid_booker
B00088,S039,2025-05-06,19,direct,3,5615.5,0,P2,0.98,last_minute
B00089,S039,2025-05-19,6,direct,3,5587.52,0,P2,1.09,last_minute
B00090,S039,2025-04-18,37,direct,1,5407.57,0,P2,0.95,mid_booker
B00091,S039,2025-05-24,1,direct,2,5949.65,0,P3,1.02,last_minute
B00092,S039,2025-03-27,59,travel_agent,3,5887.21,0,P3,1.12,mid_booker
B00093,S039,2025-05-06,19,direct,2,5056.37,1,P3,1.13,mid_booker
B00094,S039,2025-04-19,36,web,1,5830.97,0,P2,0.96,mid_booker
B00095,S039,2025-04-12,43,direct,2,4436.03,1,P3,0.94,last_minute
B00096,S039,2025-03-28,58,travel_agent,3,5720.47,0,P2,0.88,last_minute
B00097,S039,2025-05-01,24,web,2,5681.67,0,P2,0.9,mid_booker
B00098,S039,2025-04-30,25,direct,1,5106.69,1,P3,1.1,mid_booker
B00099,S039,2025-03-26,60,web,2,5595.23,0,P3,1.02,last_minute
B00100,S028,2024-11-10,205,web,4,6687.95,0,P1,0.93,early_planner
B00101,S028,2024-10-17,229,direct,2,6670.96,0,P1,0.99,early_planner
B00102,S028,2024-08-18,289,web,1,6619.16,0,P1,1.14,loyal_guest
B00103,S028,2024-10-05,241,web,4,6159.31,0,P1,1.01,early_planner
B00104,S028,2024-11-22,193,web,1,6320.02,0,P1,0.96,loyal_guest
B00105,S028,2024-11-05,210,web,3,6455.53,0,P1,1.04,loyal_guest
B00106,S028,2024-10-18,228,web,4,6191.23,0,P1,1.1,loyal_guest
B00107,S028,2024-09-23,253,travel_agent,1,6240.79,0,P1,1.13,early_planner
B00108,S028,2024-10-21,225,web,4,4964.98,1,P1,0.89,early_planner
B00109,S028,2024-09-23,253,direct,2,6601.2,0,P1,1.01,loyal_guest
B00110,S028,2024-10-29,217,direct,4,6690.03,0,P1,1.03,early_planner
B00111,S028,2024-09-07,269,direct,4,6437.35,0,P1,1.14,early_planner
B00112,S028,2024-10-29,217,travel_agent,2,6734.06,0,P1,1.04,early_planner
B00113,S028,2024-12-03,182,direct,4,6229.39,0,P1,1.1,early_planner
B00114,S028,2024-08-21,286,web,2,6564.31,0,P1,1.14,early_planner
B00115,S028,2024-09-12,264,direct,3,6659.79,0,P1,0.91,loyal_guest
B00116,S028,2024-10-16,230,direct,2,6713.34,0,P1,0.95,early_planner
B00117,S028,2024-10-31,215,direct,1,6243.97,0,P1,0.89,early_planner
B00118,S028,2024-12-04,181,web,1,6166.99,0,P1,0.85,early_planner
B00119,S028,2024-09-24,252,direct,4,6184.22,0,P1,1.07,loyal_guest
B00120,S028,2024-08-17,290,direct,2,5391.28,1,P1,0.96,loyal_guest
B00121,S028,2024-09-09,267,web,2,6762.36,0,P1,0.86,loyal_guest
B00122,S028,2024-08-28,279,travel_agent,4,6170.47,0,P1,1.15,early_planner
B00123,S028,2024-09-01,275,web,3,5134.79,1,P1,0.98,early_planner
B00124,S028,2024-11-29,186,web,2,5704.06,1,P1,1.04,loyal_guest
B00125,S028,2024-08-11,296,travel_agent,1,6493.78,0,P1,0.99,loyal_guest
B00126,S028,2024-09-19,257,direct,2,6224.37,0,P1,1.05,loyal_guest
B00127,S028,2024-09-01,275,travel_agent,2,6298.23,0,P1,0.95,early_planner
B00128,S028,2024-10-03,243,web,2,6352.64,0,P1,0.94,early_planner
B00129,S028,2024-08-21,286,direct,2,6457.34,0,P1,0.88,early_planner
B00130,S028,2024-08-12,295,direct,3,5109.16,1,P1,1.09,loyal_guest
B00131,S028,2024-08-12,295,web,4,6513.93,0,P1,1.05,early_planner
B00132,S028,2024-10-30,216,web,3,6424.11,0,P1,1.12,early_planner
B00133,S028,2024-08-28,279,travel_agent,2,6217.37,0,P1,1.0,early_planner
B00134,S028,2024-08-25,282,web,3,6376.96,0,P1,1.02,early_planner
B00135,S028,2024-11-06,209,direct,3,6428.11,0,P1,1.02,loyal_guest
B00136,S028,2025-01-17,137,web,2,6687.29,0,P2,0.86,mid_booker
B00137,S028,2024-12-23,162,direct,2,6267.74,0,P1,1.02,mid_booker
B00138,S028,2025-02-18,105,travel_agent,2,6779.45,0,P1,1.07,early_planner
B00139,S028,2025-03-07,88,direct,1,6252.21,0,P3,1.07,mid_booker
B00140,S028,2025-01-13,141,travel_agent,4,6638.72,0,P1,1.05,mid_booker
B00141,S028,2025-03-11,84,direct,2,6543.32,0,P3,0.93,mid_booker
B00142,S028,2025-01-15,139,direct,2,6333.67,0,P2,1.01,mid_booker
B00143,S028,2025-03-03,92,direct,2,6538.3,0,P1,0.91,early_planner
B00144,S028,2025-01-08,146,direct,2,6227.98,0,P2,1.07,early_planner
B00145,S028,2024-12-29,156,direct,2,6299.27,0,P2,0.87,mid_booker
B00146,S028,2025-01-02,152,travel_agent,4,4932.06,1,P2,1.02,mid_booker
B00147,S028,2024-12-27,158,direct,3,6337.73,0,P2,0.86,mid_booker
B00148,S028,2025-01-10,144,direct,2,6596.75,0,P2,0.88,early_planner
B00149,S028,2025-01-07,147,web,2,6489.51,0,P2,1.11,mid_booker
B00150,S028,2024-12-18,167,web,2,6259.15,0,P1,1.01,early_planner
B00151,S028,2025-03-18,77,web,2,6680.49,0,P2,0.92,early_planner
B00152,S028,2025-01-14,140,travel_agent,2,6249.27,0,P1,0.9,mid_booker
B00153,S028,2025-03-23,72,web,4,6642.24,0,P3,1.05,mid_booker
B00154,S028,2024-12-10,175,web,3,6435.0,0,P2,0.98,mid_booker
B00155,S028,2025-01-14,140,direct,2,5333.93,1,P2,0.99,early_planner
B00156,S028,2025-01-12,142,travel_agent,2,6199.98,0,P1,1.03,mid_booker
B00157,S028,2025-03-30,65,direct,2,6768.07,0,P2,0.98,mid_booker
B00158,S028,2025-02-24,99,direct,3,6474.89,0,P1,0.99,mid_booker
B00159,S028,2024-12-25,160,direct,2,6175.64,0,P2,1.15,mid_booker
B00160,S028,2025-02-07,116,direct,4,6333.45,0,P2,1.08,mid_booker
B00161,S028,2025-03-31,64,web,2,6192.97,0,P2,1.02,mid_booker
B00162,S028,2025-01-20,134,direct,2,6575.36,0,P1,0.95,mid_booker
B00163,S028,2025-02-17,106,direct,2,6575.03,0,P2,0.89,mid_booker
B00164,S028,2025-04-18,46,direct,4,6566.9,0,P3,1.09,mid_booker
B00165,S028,2025-05-26,8,direct,2,6479.5,0,P2,0.96,last_minute
B00166,S028,2025-05-29,5,direct,2,6465.11,0,P2,1.15,last_minute
B00167,S028,2025-04-06,58,direct,3,6215.78,0,P2,1.05,mid_booker
B00168,S028,2025-05-16,18,travel_agent,2,6255.34,0,P2,1.07,last_minute
B00169,S028,2025-05-14,20,travel_agent,2,6304.08,0,P3,1.03,mid_booker
B00170,S028,2025-04-17,47,web,4,6350.65,0,P3,1.12,last_minute
B00171,S028,2025-05-08,26,travel_agent,2,6787.63,0,P3,1.08,last_minute
B00172,S028,2025-05-23,11,travel_agent,2,6669.04,0,P2,1.11,last_minute
B00173,S028,2025-05-22,12,web,2,6216.72,0,P2,0.94,last_minute
B00174,S028,2025-05-26,8,travel_agent,2,6245.69,0,P3,0.88,last_minute
B00175,S028,2025-04-14,50,travel_agent,1,6418.9,0,P3,1.0,last_minute
B00176,S028,2025-04-30,34,web,2,6168.55,0,P2,1.1,mid_booker
B00177,S028,2025-04-08,56,travel_agent,2,5548.01,1,P3,1.06,last_minute
B00178,S028,2025-05-11,23,travel_agent,1,6736.75,0,P2,0.93,last_minute
B00179,S028,2025-05-01,33,travel_agent,1,6304.15,0,P2,0.86,last_minute
B00180,S028,2025-05-02,32,direct,4,4947.61,1,P2,1.04,mid_booker
B00181,S034,2024-10-18,234,web,1,7519.63,0,P1,1.04,early_planner
B00182,S034,2024-12-11,180,travel_agent,4,7752.47,0,P1,1.09,mid_booker
B00183,S034,2024-09-24,258,travel_agent,4,8244.93,0,P1,0.95,early_planner
B00184,S034,2024-10-27,225,travel_agent,1,8219.57,0,P1,1.01,early_planner
B00185,S034,2024-11-11,210,web,1,8275.38,0,P1,0.9,early_planner
B00186,S034,2024-09-29,253,travel_agent,2,6314.8,1,P1,0.94,loyal_guest
B00187,S034,2024-10-19,233,travel_agent,2,7767.94,0,P1,0.86,early_planner
B00188,S034,2024-11-18,203,travel_agent,2,8114.83,0,P1,0.87,loyal_guest
B00189,S034,2024-09-17,265,direct,3,8082.04,0,P1,0.9,early_planner
B00190,S034,2024-09-17,265,web,2,7836.25,0,P1,0.89,early_planner
B00191,S034,2024-12-01,190,travel_agent,2,7938.02,0,P1,1.03,loyal_guest
B00192,S034,2024-10-05,247,web,2,8092.44,0,P1,1.02,loyal_guest
B00193,S034,2024-10-26,226,direct,2,7710.5,0,P1,1.14,early_planner
B00194,S034,2024-12-03,188,travel_agent,2,8211.08,0,P1,0.89,early_planner
B00195,S034,2024-10-05,247,direct,1,7715.93,0,P1,1.12,early_planner
B00196,S034,2024-10-03,249,travel_agent,1,7008.91,1,P1,0.9,loyal_guest
B00197,S034,2024-10-08,244,web,4,8253.67,0,P1,1.15,loyal_guest
B00198,S034,2024-09-02,280,direct,2,6455.25,1,P1,1.12,early_planner
B00199,S034,2024-10-08,244,direct,2,7586.44,0,P1,0.91,early_planner
B00200,S034,2024-10-02,250,direct,3,6441.23,1,P1,0.96,loyal_guest
B00201,S034,2024-12-09,182,travel_agent,3,7542.59,0,P1,0.97,loyal_guest
B00202,S034,2024-10-23,229,web,4,7813.59,0,P1,1.02,early_planner
B00203,S034,2024-08-22,291,direct,2,6545.54,1,P1,1.01,early_planner
B00204,S034,2024-10-12,240,direct,2,8208.85,0,P1,0.87,early_planner
B00205,S034,2024-12-06,185,web,1,7745.17,0,P1,1.06,early_planner
B00206,S034,2024-09-21,261,web,3,7991.49,0,P1,1.02,early_planner
B00207,S034,2024-10-23,229,direct,2,7887.03,0,P1,0.9,loyal_guest
B00208,S034,2024-10-25,227,direct,1,8058.97,0,P1,1.03,loyal_guest
B00209,S034,2024-11-09,212,direct,3,5974.61,1,P1,1.08,early_planner
B00210,S034,2024-09-07,275,web,4,7994.59,0,P1,1.0,loyal_guest
B00211,S034,2024-12-09,182,travel_agent,2,7871.55,0,P1,1.09,loyal_guest
B00212,S034,2024-10-27,225,travel_agent,2,8033.72,0,P1,0.9,early_planner
B00213,S034,2024-09-02,280,web,4,7969.1,0,P1,0.94,loyal_guest
B00214,S034,2024-12-03,188,direct,2,7763.07,0,P1,0.97,early_planner
B00215,S034,2024-10-28,224,direct,1,7587.36,0,P1,0.98,early_planner
B00216,S034,2024-11-11,210,direct,2,7793.65,0,P1,1.03,early_planner
B00217,S034,2024-09-09,273,travel_agent,3,8059.36,0,P1,0.91,early_planner
B00218,S034,2025-01-16,144,travel_agent,2,8183.9,0,P2,0.86,mid_booker
B00219,S034,2025-01-20,140,travel_agent,2,7769.01,0,P1,0.93,mid_booker
B00220,S034,2025-03-28,73,web,2,8158.75,0,P3,0.89,mid_booker
B00221,S034,2025-01-02,158,direct,2,7806.61,0,P1,0.96,mid_booker
B00222,S034,2025-01-26,134,direct,2,8093.48,0,P2,1.1,mid_booker
B00223,S034,2025-01-06,154,direct,2,7801.34,0,P2,1.02,mid_booker
B00224,S034,2025-01-04,156,web,2,7807.24,0,P1,0.86,early_planner
B00225,S034,2025-02-27,102,web,2,7608.19,0,P1,0.95,mid_booker
B00226,S034,2025-03-24,77,travel_agent,4,7976.86,0,P3,1.03,mid_booker
B00227,S034,2025-04-05,65,direct,2,7865.2,0,P2,0.96,mid_booker
B00228,S034,2025-02-24,105,direct,4,8118.99,0,P1,1.03,mid_booker
B00229,S034,2025-01-31,129,direct,1,6528.25,1,P2,0.89,mid_booker
B00230,S034,2025-02-26,103,travel_agent,2,8043.11,0,P1,0.86,mid_booker
B00231,S034,2024-12-27,164,direct,4,7651.52,0,P2,1.11,mid_booker
B00232,S034,2025-01-18,142,travel_agent,2,6851.27,1,P2,1.15,mid_booker
B00233,S034,2025-03-19,82,web,3,7853.19,0,P3,1.01,mid_booker
B00234,S034,2024-12-25,166,web,2,8245.61,0,P2,1.02,early_planner
B00235,S034,2025-01-01,159,web,2,8035.0,0,P2,0.95,mid_booker
B00236,S034,2025-01-13,147,web,2,6296.23,1,P2,1.12,mid_booker
B00237,S034,2025-02-10,119,web,4,7717.55,0,P1,0.95,mid_booker
B00238,S034,2025-01-11,149,web,2,7650.08,0,P2,1.13,mid_booker
B00239,S034,2025-02-08,121,direct,4,6220.21,1,P1,0.92,mid_booker
B00240,S034,2025-01-20,140,direct,1,7569.76,0,P2,1.07,early_planner
B00241,S034,2025-03-18,83,travel_agent,4,8261.83,0,P2,0.97,mid_booker
B00242,S034,2024-12-28,163,direct,4,8250.8,0,P2,0.94,early_planner
B00243,S034,2025-03-24,77,travel_agent,2,7912.72,0,P2,1.12,early_planner
B00244,S034,2025-04-02,68,web,1,7519.4,0,P3,1.09,early_planner
B00245,S034,2025-01-09,151,web,2,6424.74,1,P1,1.13,mid_booker
B00246,S034,2025-01-01,159,travel_agent,2,7919.14,0,P2,1.12,early_planner
B00247,S034,2025-04-10,60,web,4,6963.27,1,P2,1.07,mid_booker
B00248,S034,2025-05-11,29,direct,3,6225.27,1,P3,1.02,last_minute
B00249,S034,2025-06-07,2,travel_agent,4,8198.07,0,P3,1.0,last_minute
B00250,S034,2025-05-22,18,direct,2,5935.41,1,P3,0.95,last_minute
B00251,S034,2025-05-28,12,direct,2,7843.0,0,P3,1.14,last_minute
B00252,S034,2025-06-07,2,web,2,8037.0,0,P2,1.05,last_minute
B00253,S034,2025-04-20,50,web,2,7886.99,0,P3,1.06,mid_booker
B00254,S034,2025-05-28,12,web,2,7663.53,0,P2,0.99,last_minute
B00255,S034,2025-04-14,56,direct,3,8210.49,0,P2,1.08,mid_booker
B00256,S034,2025-06-07,2,direct,3,8045.67,0,P2,1.13,last_minute
B00257,S034,2025-05-20,20,travel_agent,1,7650.15,0,P2,0.9,mid_booker
B00258,S034,2025-04-11,59,travel_agent,1,8056.04,0,P3,0.88,mid_booker
B00259,S034,2025-05-21,19,travel_agent,4,7895.45,0,P3,1.02,mid_booker
B00260,S034,2025-05-08,32,direct,3,8061.06,0,P3,0.93,last_minute
B00261,S034,2025-05-15,25,direct,2,6595.37,1,P2,1.01,last_minute
B00262,S034,2025-04-18,52,travel_agent,2,6612.91,1,P2,1.08,mid_booker
B00263,S034,2025-05-06,34,direct,4,7792.34,0,P3,0.96,mid_booker
B00264,S016,2024-12-04,195,direct,4,5732.15,0,P1,1.02,loyal_guest
B00265,S016,2024-11-27,202,travel_agent,3,5896.75,0,P1,0.86,early_planner
B00266,S016,2024-10-12,248,direct,3,5814.93,0,P1,0.89,early_planner
B00267,S016,2024-10-30,230,direct,2,6068.85,0,P1,0.94,loyal_guest
B00268,S016,2024-10-13,247,direct,2,5900.58,0,P1,1.14,loyal_guest
B00269,S016,2024-12-03,196,web,1,5690.04,0,P1,1.04,early_planner
B00270,S016,2024-09-17,273,direct,1,6057.16,0,P1,0.87,early_planner
B00271,S016,2024-11-21,208,direct,2,6017.46,0,P1,1.07,loyal_guest
B00272,S016,2024-09-04,286,direct,2,6102.68,0,P1,0.94,early_planner
B00273,S016,2024-12-19,180,direct,2,5639.59,0,P2,1.12,mid_booker
B00274,S016,2024-09-14,276,travel_agent,3,5894.54,0,P1,1.08,early_planner
B00275,S016,2024-12-17,182,travel_agent,1,5751.66,0,P1,0.96,early_planner
B00276,S016,2024-11-11,218,direct,2,5994.42,0,P1,1.08,early_planner
B00277,S016,2024-10-21,239,direct,1,5597.61,0,P1,1.11,loyal_guest
B00278,S016,2024-09-24,266,web,2,6118.94,0,P1,1.02,early_planner
B00279,S016,2024-09-18,272,travel_agent,3,5705.68,0,P1,1.02,early_planner
B00280,S016,2024-10-11,249,travel_agent,2,5972.39,0,P1,0.93,early_planner
B00281,S016,2024-10-26,234,travel_agent,2,6036.97,0,P1,0.9,loyal_guest
B00282,S016,2024-10-12,248,direct,1,5888.71,0,P1,1.04,early_planner
B00283,S016,2024-11-01,228,direct,4,5962.64,0,P1,1.08,early_planner
B00284,S016,2024-09-05,285,travel_agent,2,5985.48,0,P1,0.85,loyal_guest
B00285,S016,2024-11-20,209,travel_agent,1,4716.65,1,P1,1.13,early_planner
B00286,S016,2024-11-18,211,web,3,4792.37,1,P1,0.85,loyal_guest
B00287,S016,2024-10-22,238,travel_agent,2,5580.85,0,P1,1.09,loyal_guest
B00288,S016,2024-11-05,224,web,2,5192.88,1,P1,0.89,early_planner
B00289,S016,2024-11-30,199,travel_agent,3,5803.54,0,P1,0.96,early_planner
B00290,S016,2024-11-14,215,direct,1,5979.66,0,P1,0.94,early_planner
B00291,S016,2024-11-25,204,direct,4,5791.97,0,P1,0.99,loyal_guest
B00292,S016,2024-08-22,299,direct,3,5863.92,0,P1,0.98,early_planner
B00293,S016,2024-08-29,292,travel_agent,2,5705.54,0,P1,1.12,loyal_guest
B00294,S016,2024-09-18,272,direct,2,5212.2,1,P1,1.13,loyal_guest
B00295,S016,2024-09-13,277,direct,4,5755.21,0,P1,1.14,loyal_guest
B00296,S016,2024-12-05,194,direct,3,6115.49,0,P1,0.94,loyal_guest
B00297,S016,2024-12-15,184,travel_agent,4,5799.0,0,P1,1.12,early_planner
B00298,S016,2024-09-07,283,web,1,4408.13,1,P1,1.07,loyal_guest
B00299,S016,2025-01-24,144,travel_agent,2,5073.41,1,P1,0.95,mid_booker
B00300,S016,2025-02-24,113,travel_agent,2,5037.18,1,P2,1.0,mid_booker
B00301,S016,2025-01-30,138,web,2,5914.36,0,P2,0.88,mid_booker
B00302,S016,2025-01-10,158,direct,4,5618.91,0,P1,0.96,mid_booker
B00303,S016,2024-12-20,179,travel_agent,2,5782.31,0,P1,0.85,mid_booker
B00304,S016,2024-12-26,173,travel_agent,1,5630.75,0,P1,0.91,mid_booker
B00305,S016,2024-12-26,173,travel_agent,1,4966.3,1,P1,1.03,mid_booker
B00306,S016,2025-04-16,62,direct,3,4936.49,1,P2,1.07,mid_booker
B00307,S016,2025-03-19,90,web,2,5972.67,0,P2,0.89,mid_booker
B00308,S016,2025-03-23,86,direct,2,5130.52,1,P3,0.98,mid_booker
B00309,S016,2025-04-10,68,travel_agent,1,5060.7,1,P3,1.03,early_planner
B00310,S016,2025-04-06,72,travel_agent,2,5271.65,1,P3,0.95,mid_booker
B00311,S016,2025-02-01,136,direct,2,5823.31,0,P1,0.94,mid_booker
B00312,S016,2025-04-14,64,travel_agent,3,4429.16,1,P3,0.94,mid_booker
B00313,S016,2025-02-20,117,web,1,5761.9,0,P2,1.09,mid_booker
B00314,S016,2025-02-01,136,direct,4,5687.96,0,P1,1.05,mid_booker
B00315,S016,2025-01-22,146,direct,2,5986.19,0,P2,1.09,mid_booker
B00316,S016,2025-01-18,150,direct,4,5652.41,0,P2,0.92,mid_booker
B00317,S016,2024-12-28,171,travel_agent,3,5791.87,0,P2,1.15,mid_booker
B00318,S016,2025-04-12,66,direct,1,6110.52,0,P3,1.01,mid_booker
B00319,S016,2025-03-18,91,direct,3,5956.42,0,P2,0.9,mid_booker
B00320,S016,2025-01-14,154,travel_agent,1,5968.07,0,P2,1.14,mid_booker
B00321,S016,2025-04-13,65,travel_agent,4,5050.01,1,P2,0.98,mid_booker
B00322,S016,2025-02-26,111,direct,2,5864.27,0,P2,1.15,mid_booker
B00323,S016,2025-02-21,116,direct,2,6134.76,0,P1,1.1,mid_booker
B00324,S016,2025-03-20,89,travel_agent,1,4877.09,1,P2,1.01,mid_booker
B00325,S016,2025-02-08,129,direct,1,5979.38,0,P2,0.87,early_planner
B00326,S016,2025-03-22,87,direct,3,5950.77,0,P2,1.13,mid_booker
B00327,S016,2025-01-12,156,travel_agent,4,5664.7,0,P2,1.14,early_planner
B00328,S016,2024-12-29,170,direct,2,5946.38,0,P2,0.97,mid_booker
B00329,S016,2025-01-09,159,direct,3,5798.81,0,P1,0.91,mid_booker
B00330,S016,2025-04-11,67,travel_agent,1,4510.61,1,P2,0.96,early_planner
B00331,S016,2025-04-01,77,travel_agent,3,4518.82,1,P3,1.03,mid_booker
B00332,S016,2025-02-13,124,web,3,4967.99,1,P2,1.04,mid_booker
B00333,S016,2025-03-12,97,direct,2,5964.93,0,P2,0.89,mid_booker
B00334,S016,2025-06-03,14,travel_agent,2,5653.69,0,P3,0.98,last_minute
B00335,S016,2025-04-26,52,web,2,4718.61,1,P2,1.02,last_minute
